"label (S)","n (N)","content (M)","number (N)"
"a","7","{  ""data"" : { ""M"" : {      ""x"" : { ""L"" : [          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""-1"" },          { ""N"" : ""-21"" },          { ""N"" : ""4"" },          { ""N"" : ""13"" },          { ""N"" : ""8"" },          { ""N"" : ""0"" },          { ""N"" : ""-1"" },          { ""N"" : ""1"" },          { ""N"" : ""5"" },          { ""N"" : ""11"" },          { ""N"" : ""11"" },          { ""N"" : ""5"" },          { ""N"" : ""0"" },          { ""N"" : ""-7"" },          { ""N"" : ""-13"" },          { ""N"" : ""-8"" },          { ""N"" : ""11"" },          { ""N"" : ""8"" },          { ""N"" : ""3"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" }        ]      },      ""y"" : { ""L"" : [          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""-2"" },          { ""N"" : ""6"" },          { ""N"" : ""-11"" },          { ""N"" : ""3"" },          { ""N"" : ""0"" },          { ""N"" : ""-8"" },          { ""N"" : ""-22"" },          { ""N"" : ""-6"" },          { ""N"" : ""6"" },          { ""N"" : ""9"" },          { ""N"" : ""18"" },          { ""N"" : ""20"" },          { ""N"" : ""19"" },          { ""N"" : ""7"" },          { ""N"" : ""0"" },          { ""N"" : ""-12"" },          { ""N"" : ""-23"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" }        ]      }    }  }}","30"
"a","8","{  ""data"" : { ""M"" : {      ""x"" : { ""L"" : [          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""-20"" },          { ""N"" : ""-13"" },          { ""N"" : ""7"" },          { ""N"" : ""12"" },          { ""N"" : ""9"" },          { ""N"" : ""1"" },          { ""N"" : ""0"" },          { ""N"" : ""8"" },          { ""N"" : ""17"" },          { ""N"" : ""9"" },          { ""N"" : ""2"" },          { ""N"" : ""-3"" },          { ""N"" : ""-15"" },          { ""N"" : ""-5"" },          { ""N"" : ""13"" },          { ""N"" : ""9"" },          { ""N"" : ""1"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" }        ]      },      ""y"" : { ""L"" : [          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""3"" },          { ""N"" : ""1"" },          { ""N"" : ""-8"" },          { ""N"" : ""-6"" },          { ""N"" : ""-7"" },          { ""N"" : ""-11"" },          { ""N"" : ""-10"" },          { ""N"" : ""13"" },          { ""N"" : ""22"" },          { ""N"" : ""13"" },          { ""N"" : ""16"" },          { ""N"" : ""18"" },          { ""N"" : ""14"" },          { ""N"" : ""-26"" },          { ""N"" : ""-23"" },          { ""N"" : ""1"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" }        ]      }    }  }}","30"
"a","9","{  ""data"" : { ""M"" : {      ""x"" : { ""L"" : [          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""-20"" },          { ""N"" : ""-8"" },          { ""N"" : ""13"" },          { ""N"" : ""11"" },          { ""N"" : ""4"" },          { ""N"" : ""0"" },          { ""N"" : ""-3"" },          { ""N"" : ""0"" },          { ""N"" : ""10"" },          { ""N"" : ""12"" },          { ""N"" : ""12"" },          { ""N"" : ""6"" },          { ""N"" : ""0"" },          { ""N"" : ""-9"" },          { ""N"" : ""-17"" },          { ""N"" : ""4"" },          { ""N"" : ""9"" },          { ""N"" : ""8"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""-1"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" }        ]      },      ""y"" : { ""L"" : [          { ""N"" : ""-1"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""-7"" },          { ""N"" : ""10"" },          { ""N"" : ""-7"" },          { ""N"" : ""-3"" },          { ""N"" : ""1"" },          { ""N"" : ""-1"" },          { ""N"" : ""-11"" },          { ""N"" : ""-25"" },          { ""N"" : ""0"" },          { ""N"" : ""5"" },          { ""N"" : ""17"" },          { ""N"" : ""20"" },          { ""N"" : ""19"" },          { ""N"" : ""16"" },          { ""N"" : ""7"" },          { ""N"" : ""-7"" },          { ""N"" : ""-30"" },          { ""N"" : ""-3"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" }        ]      }    }  }}","30"
"a","10","{  ""data"" : { ""M"" : {      ""x"" : { ""L"" : [          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""-10"" },          { ""N"" : ""-14"" },          { ""N"" : ""1"" },          { ""N"" : ""11"" },          { ""N"" : ""11"" },          { ""N"" : ""5"" },          { ""N"" : ""-4"" },          { ""N"" : ""-2"" },          { ""N"" : ""6"" },          { ""N"" : ""12"" },          { ""N"" : ""14"" },          { ""N"" : ""5"" },          { ""N"" : ""2"" },          { ""N"" : ""-2"" },          { ""N"" : ""-10"" },          { ""N"" : ""-13"" },          { ""N"" : ""1"" },          { ""N"" : ""11"" },          { ""N"" : ""6"" },          { ""N"" : ""1"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" }        ]      },      ""y"" : { ""L"" : [          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""-2"" },          { ""N"" : ""3"" },          { ""N"" : ""3"" },          { ""N"" : ""-2"" },          { ""N"" : ""-6"" },          { ""N"" : ""-1"" },          { ""N"" : ""-3"" },          { ""N"" : ""-20"" },          { ""N"" : ""-19"" },          { ""N"" : ""0"" },          { ""N"" : ""13"" },          { ""N"" : ""14"" },          { ""N"" : ""17"" },          { ""N"" : ""17"" },          { ""N"" : ""10"" },          { ""N"" : ""6"" },          { ""N"" : ""0"" },          { ""N"" : ""-18"" },          { ""N"" : ""-12"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" }        ]      }    }  }}","30"
"a","11","{  ""data"" : { ""M"" : {      ""x"" : { ""L"" : [          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""-15"" },          { ""N"" : ""-19"" },          { ""N"" : ""6"" },          { ""N"" : ""15"" },          { ""N"" : ""8"" },          { ""N"" : ""0"" },          { ""N"" : ""-5"" },          { ""N"" : ""0"" },          { ""N"" : ""6"" },          { ""N"" : ""11"" },          { ""N"" : ""11"" },          { ""N"" : ""6"" },          { ""N"" : ""0"" },          { ""N"" : ""-4"" },          { ""N"" : ""-14"" },          { ""N"" : ""-11"" },          { ""N"" : ""0"" },          { ""N"" : ""9"" },          { ""N"" : ""6"" },          { ""N"" : ""1"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" }        ]      },      ""y"" : { ""L"" : [          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""3"" },          { ""N"" : ""5"" },          { ""N"" : ""-9"" },          { ""N"" : ""1"" },          { ""N"" : ""0"" },          { ""N"" : ""-13"" },          { ""N"" : ""-18"" },          { ""N"" : ""-7"" },          { ""N"" : ""7"" },          { ""N"" : ""15"" },          { ""N"" : ""11"" },          { ""N"" : ""10"" },          { ""N"" : ""15"" },          { ""N"" : ""3"" },          { ""N"" : ""1"" },          { ""N"" : ""-3"" },          { ""N"" : ""-16"" },          { ""N"" : ""-10"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" }        ]      }    }  }}","30"
"a","12","{  ""data"" : { ""M"" : {      ""x"" : { ""L"" : [          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""-12"" },          { ""N"" : ""-17"" },          { ""N"" : ""7"" },          { ""N"" : ""14"" },          { ""N"" : ""9"" },          { ""N"" : ""-1"" },          { ""N"" : ""-4"" },          { ""N"" : ""6"" },          { ""N"" : ""16"" },          { ""N"" : ""18"" },          { ""N"" : ""5"" },          { ""N"" : ""-2"" },          { ""N"" : ""-7"" },          { ""N"" : ""-17"" },          { ""N"" : ""-2"" },          { ""N"" : ""7"" },          { ""N"" : ""10"" },          { ""N"" : ""5"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" }        ]      },      ""y"" : { ""L"" : [          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""-3"" },          { ""N"" : ""2"" },          { ""N"" : ""0"" },          { ""N"" : ""-13"" },          { ""N"" : ""0"" },          { ""N"" : ""-3"" },          { ""N"" : ""-19"" },          { ""N"" : ""-11"" },          { ""N"" : ""7"" },          { ""N"" : ""22"" },          { ""N"" : ""19"" },          { ""N"" : ""19"" },          { ""N"" : ""18"" },          { ""N"" : ""1"" },          { ""N"" : ""-2"" },          { ""N"" : ""-18"" },          { ""N"" : ""-10"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" }        ]      }    }  }}","30"
"a","13","{  ""data"" : { ""M"" : {      ""x"" : { ""L"" : [          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""-15"" },          { ""N"" : ""-13"" },          { ""N"" : ""10"" },          { ""N"" : ""13"" },          { ""N"" : ""4"" },          { ""N"" : ""-5"" },          { ""N"" : ""1"" },          { ""N"" : ""11"" },          { ""N"" : ""18"" },          { ""N"" : ""12"" },          { ""N"" : ""2"" },          { ""N"" : ""-1"" },          { ""N"" : ""-5"" },          { ""N"" : ""-12"" },          { ""N"" : ""-10"" },          { ""N"" : ""8"" },          { ""N"" : ""11"" },          { ""N"" : ""5"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" }        ]      },      ""y"" : { ""L"" : [          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""-4"" },          { ""N"" : ""9"" },          { ""N"" : ""-10"" },          { ""N"" : ""-6"" },          { ""N"" : ""2"" },          { ""N"" : ""-6"" },          { ""N"" : ""-24"" },          { ""N"" : ""-15"" },          { ""N"" : ""12"" },          { ""N"" : ""25"" },          { ""N"" : ""13"" },          { ""N"" : ""17"" },          { ""N"" : ""15"" },          { ""N"" : ""8"" },          { ""N"" : ""-4"" },          { ""N"" : ""-10"" },          { ""N"" : ""-22"" },          { ""N"" : ""-1"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" }        ]      }    }  }}","30"
"a","15","{  ""data"" : { ""M"" : {      ""x"" : { ""L"" : [          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""-5"" },          { ""N"" : ""-18"" },          { ""N"" : ""-2"" },          { ""N"" : ""13"" },          { ""N"" : ""12"" },          { ""N"" : ""6"" },          { ""N"" : ""-4"" },          { ""N"" : ""-1"" },          { ""N"" : ""5"" },          { ""N"" : ""14"" },          { ""N"" : ""11"" },          { ""N"" : ""7"" },          { ""N"" : ""0"" },          { ""N"" : ""-4"" },          { ""N"" : ""-14"" },          { ""N"" : ""-8"" },          { ""N"" : ""9"" },          { ""N"" : ""10"" },          { ""N"" : ""6"" },          { ""N"" : ""1"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" }        ]      },      ""y"" : { ""L"" : [          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""2"" },          { ""N"" : ""0"" },          { ""N"" : ""4"" },          { ""N"" : ""-2"" },          { ""N"" : ""-2"" },          { ""N"" : ""-1"" },          { ""N"" : ""-9"" },          { ""N"" : ""-19"" },          { ""N"" : ""-15"" },          { ""N"" : ""9"" },          { ""N"" : ""8"" },          { ""N"" : ""13"" },          { ""N"" : ""16"" },          { ""N"" : ""26"" },          { ""N"" : ""10"" },          { ""N"" : ""7"" },          { ""N"" : ""-4"" },          { ""N"" : ""-27"" },          { ""N"" : ""-9"" },          { ""N"" : ""1"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" }        ]      }    }  }}","30"
"a","16","{  ""data"" : { ""M"" : {      ""x"" : { ""L"" : [          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""-17"" },          { ""N"" : ""-15"" },          { ""N"" : ""3"" },          { ""N"" : ""15"" },          { ""N"" : ""9"" },          { ""N"" : ""0"" },          { ""N"" : ""-5"" },          { ""N"" : ""-1"" },          { ""N"" : ""10"" },          { ""N"" : ""8"" },          { ""N"" : ""11"" },          { ""N"" : ""7"" },          { ""N"" : ""2"" },          { ""N"" : ""-3"" },          { ""N"" : ""-6"" },          { ""N"" : ""-13"" },          { ""N"" : ""0"" },          { ""N"" : ""7"" },          { ""N"" : ""8"" },          { ""N"" : ""2"" },          { ""N"" : ""1"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" }        ]      },      ""y"" : { ""L"" : [          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""5"" },          { ""N"" : ""0"" },          { ""N"" : ""-7"" },          { ""N"" : ""3"" },          { ""N"" : ""0"" },          { ""N"" : ""-4"" },          { ""N"" : ""-14"" },          { ""N"" : ""-6"" },          { ""N"" : ""-12"" },          { ""N"" : ""11"" },          { ""N"" : ""12"" },          { ""N"" : ""14"" },          { ""N"" : ""23"" },          { ""N"" : ""17"" },          { ""N"" : ""5"" },          { ""N"" : ""1"" },          { ""N"" : ""-21"" },          { ""N"" : ""-8"" },          { ""N"" : ""-4"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" }        ]      }    }  }}","30"
"a","17","{  ""data"" : { ""M"" : {      ""x"" : { ""L"" : [          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""-19"" },          { ""N"" : ""-4"" },          { ""N"" : ""12"" },          { ""N"" : ""4"" },          { ""N"" : ""5"" },          { ""N"" : ""-3"" },          { ""N"" : ""-1"" },          { ""N"" : ""6"" },          { ""N"" : ""10"" },          { ""N"" : ""11"" },          { ""N"" : ""5"" },          { ""N"" : ""-4"" },          { ""N"" : ""-8"" },          { ""N"" : ""-16"" },          { ""N"" : ""-8"" },          { ""N"" : ""12"" },          { ""N"" : ""8"" },          { ""N"" : ""4"" },          { ""N"" : ""1"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" }        ]      },      ""y"" : { ""L"" : [          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""-2"" },          { ""N"" : ""7"" },          { ""N"" : ""-7"" },          { ""N"" : ""-16"" },          { ""N"" : ""3"" },          { ""N"" : ""-11"" },          { ""N"" : ""-19"" },          { ""N"" : ""-8"" },          { ""N"" : ""9"" },          { ""N"" : ""13"" },          { ""N"" : ""16"" },          { ""N"" : ""15"" },          { ""N"" : ""17"" },          { ""N"" : ""8"" },          { ""N"" : ""-1"" },          { ""N"" : ""-13"" },          { ""N"" : ""-19"" },          { ""N"" : ""2"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" }        ]      }    }  }}","30"
